:LABEL;value;:ID
SSN;MRNTZN16M21L049R;224704
SSN;SCDGSR37H60L873I;224709
SSN;SCHFRN68A08I576N;224714
SSN;TRVGRC98M49F015T;224719
SSN;ZCCLFD23C56E772T;224724
SSN;CSNMCL95P02F947W;224729
SSN;GRSLSS15E62L050Y;224734
SSN;CCCNNS67R07F506N;224739
SSN;NRDMRA38R11C297R;224744
SSN;JCZNTL52T15H877V;224749
SSN;BTTLSN72A60F578K;224754
SSN;CHRNSD68H68B375L;224759
SSN;GBRBPP99E46I373A;224764
SSN;GTTNTN02R21D773F;224769
SSN;MJWLZR37D68C656B;224774
SSN;FRMMRL50H49A471U;224779
SSN;MSCLVI43A47B701S;224784
SSN;GNSNNI70R16D608D;224789
SSN;SBLGRG70D12I613U;224794
SSN;MRNRFL58H53L905J;224799
SSN;VRRDIA93P15F500N;224804
SSN;VRGGRL93T12A355G;224809
SSN;ZNITTN69A27I312K;224814
SSN;SLRTMT74E51C836F;224819
SSN;SBLGRM42P64H687P;224824
SSN;RGNGNZ52L43H386W;224829
SSN;PRSRTI86C13D678X;224834
SSN;CNTSRS88R42H372Q;224839
SSN;PZZPRL74P59D611Y;224844
SSN;PPTMLN79E17C814P;224849
SSN;MNTVNS65R17C254P;224854
SSN;NTNRSR52T64H703Y;224859
SSN;DSDSRN56M08H128Z;224864
SSN;VTTDNL21D62I088H;224869
SSN;TMBRMN81D24L702P;224874
SSN;VNDPMN82D63E624R;224879
SSN;BNCRST44A64B536X;224884
SSN;LGRRNZ76D67G161P;224889
SSN;FNTMTT19A53C030K;224894
SSN;GNSCLD92D42H607X;224899
SSN;BLBNNS97S09F611O;224904
SSN;GNGFRC51A66F785H;224909
SSN;ZCHGSV97S50I359M;224914
SSN;FLLMLN96C12G171E;224919
SSN;MNTDRD28A42A453Z;224924
SSN;GBBPSL09C56L609G;224929
SSN;CRLCNT69L02A894H;224934
SSN;PCMRFL05H09A092T;224939
SSN;MZZMRS24S26A674R;224944
SSN;PTRRSR82C22A180O;224949
SSN;MTTGCN76C61L240A;224954
SSN;MRZRCC20T48B868N;224959
SSN;TNNMRA99M51L345Z;224964
SSN;FRNGSR63E63D324Q;224969
SSN;CSRLSN03A04B006U;224974
SSN;TRNTTE30A02L613F;224979
SSN;LRCDMA18M47E814X;224984
SSN;SBRGVN74T50F450H;224989
SSN;LMBLMR32M44I877X;224994
SSN;RNGGLN08P42C911A;224999
SSN;BRNPLT25M10I060R;225004
SSN;SRRDNT04R60D744C;225009
SSN;TRSFRN72M18L214W;225014
SSN;CMLLND78C14F642U;225019
SSN;CNLFBZ99P04D789N;225024
SSN;GGLLDC87L45M295B;225029
SSN;TSCNTN73L41M179P;225034
SSN;MSCCRL06D64I866J;225039
SSN;NDRFLP00L16C525C;225044
SSN;PGNSLT96H53D037U;225049
SSN;RCCSBT98P67B768U;225054
SSN;CNTRBT79H10H706W;225059
SSN;VSPFBA79M19B303N;225064
SSN;FRNRFL35E67G713K;225069
SSN;LXRCRL66E13E017N;225074
SSN;TRRRKE71R11B115A;225079
SSN;PCLGMR52R59I541U;225084
SSN;TSCLBT56A65B597Q;225089
SSN;FSCPLM66L26G449T;225094
SSN;PNILZR92B65A746I;225099
SSN;SFFPLG83S63F152N;225104
SSN;NZGMLN67R06C812F;225109
SSN;TRMRCC58P46C319R;225114
SSN;SRDNNI68E47G566O;225119
SSN;SMNPLA88B05A134L;225124
SSN;RROMCL42T06C686O;225129
SSN;DSUDLS64P09H002S;225134
SSN;VRDNCT21P20F724M;225139
SSN;ZNCRGR67C65F877C;225144
SSN;LNZGTN89E52L524Z;225149
SSN;LVTMLD43T02D290D;225154
SSN;GRGRLD17M54D384H;225159
SSN;GRTMRL82H62I144R;225164
SSN;BLLVEA88C03G797D;225169
SSN;TRTTTE20H26I715E;225174
SSN;RGGRAI90M06L223E;225179
SSN;RFFFBA49T53E897U;225184
SSN;TRCBTN61E24F788T;225189
SSN;RNCSNT57D61C908C;225194
SSN;MNTDRA63S55I745Q;225199
SSN;TRVRSL99R13I174V;225204
SSN;MTLRSR81T04B019Y;225209
SSN;FNZNCL92E63E401G;225214
SSN;CRSCLC17T54I281U;225219
SSN;SLVCRN64A47F502Q;225224
SSN;RFFRSR83E01L153W;225229
SSN;BDNLLR13R13C424S;225234
SSN;GRNCLL07E06D883I;225239
SSN;SFFFLV34L10E457I;225244
SSN;DNDTTE65M18G794H;225249
SSN;PRNMNC51P22L917S;225254
SSN;PLCLRN70D05H384P;225259
SSN;BBGTLL48E60C536M;225264
SSN;VDOGTN11D59A439U;225269
SSN;PRTRFL26E04C766O;225274
SSN;BNDLNR67A07H981O;225279
SSN;LGRNTL00H23F616P;225284
SSN;MDCNTL45L19D339I;225289
SSN;MCCLSE64A04C760D;225294
SSN;BJRSVD16D41H300C;225299
SSN;LCCGNE46L01E897F;225304
SSN;CNDGRG88E26I457H;225309
SSN;CBTGLI09B49L386K;225314
SSN;LBNSIA31S12F911L;225319
SSN;LMBMRN61H03F048O;225324
SSN;MRLPNL66P68F793Q;225329
SSN;RCCMRN53C50E892I;225334
SSN;NGLBLS83D41B715O;225339
SSN;BLBLCI61A14F405L;225344
SSN;PNEFLP15T64F007C;225349
SSN;LPPFLV77M09F200W;225354
SSN;SKLGDI29P15E713D;225359
SSN;BNDRNT27A02F788N;225364
SSN;CSTCLL45D06C883W;225369
SSN;SCLMRN41B28L784X;225374
SSN;VLMCRL56L47M261X;225379
SSN;SLVRSN17L43D741R;225384
SSN;BRNDNI83S25G625X;225389
SSN;GRGFDG30B51H245C;225394
SSN;CCLLCN48M51B235Y;225399
SSN;PLLSSN11L25E678W;225404
SSN;BRSFBA43B19C686E;225409
SSN;PNTRNF60P62E055U;225414
SSN;RRGSMT61L18M427T;225419
SSN;MTAMRS60D12L506N;225424
SSN;RNCGDI12D27A116N;225429
SSN;BNLRFL56R17F863K;225434
SSN;GNZRGR20C59F455M;225439
SSN;PNTBGI42D52M375R;225444
SSN;DLDMRA68C24E830H;225449
SSN;GNTLRT47R03I198R;225454
SSN;VCLLDA36L51E611Y;225459
SSN;CBBGRN83R42D120A;225464
SSN;CRNRSL88D11A970Q;225469
SSN;CSTRRA12T01D562B;225474
SSN;SCLSIA20S26D013X;225479
SSN;GRZGLN16R41B102Y;225484
SSN;MNTMRH65B22I535G;225489
SSN;ZCCCRL54E48L204V;225494
SSN;DSSGRN27M68B782U;225499
SSN;DSSCRL79P58H493N;225504
SSN;LNGVNS83D15C076D;225509
SSN;LRURMS89P63C857V;225514
SSN;VZZLSN18P05H224L;225519
SSN;SMRNNI29E11G328B;225524
SSN;ZCCNNL92P62A766T;225529
SSN;MSPFMM48D16G320A;225534
SSN;CLLBLS80T57A208S;225539
SSN;CNTNNL02D48F842M;225544
SSN;TRCLGO68B19H805E;225549
SSN;FLRGNR48L65L062I;225554
SSN;CHRNTL72E15E094T;225559
SSN;SRRMSM82C57B801L;225564
SSN;FSNCHL91S48D502D;225569
SSN;SCRRML27R67L623Q;225574
SSN;JCZGVN40B28C421O;225579
