last_name;first_name;full_name;:LABEL;:ID
Anguissola;Pompeo;Pompeo Anguissola;Customer;1310750
Spadafora;Arturo;Arturo Spadafora;Customer;1310755
Taccola;Adriano;Adriano Taccola;Customer;1310760
Galiazzo;Stella;Stella Galiazzo;Customer;1310765
Pometta;Vanessa;Vanessa Pometta;Customer;1310770
Valier;Pasquale;Pasquale Valier;Customer;1310775
Dalla;Luigina;Luigina Dalla;Customer;1310780
Favata;Morena;Morena Favata;Customer;1310785
Luria;Tina;Tina Luria;Customer;1310790
Argenti;Sophia;Sophia Argenti;Customer;1310795
Borroni;Salvi;Salvi Borroni;Customer;1310800
Avogadro;Marisa;Marisa Avogadro;Customer;1310805
Gremese;Vincenzo;Vincenzo Gremese;Customer;1310810
Bertolucci;Giada;Giada Bertolucci;Customer;1310815
Mercalli;Enzo;Enzo Mercalli;Customer;1310820
Pinamonte;Silvio;Silvio Pinamonte;Customer;1310825
Sgarbi;Ludovica;Ludovica Sgarbi;Customer;1310830
Albertini;Agnolo;Agnolo Albertini;Customer;1310835
Cesarotti;Mirco;Mirco Cesarotti;Customer;1310840
Falier;Fernanda;Fernanda Falier;Customer;1310845
Mantegazza;Fiamma;Fiamma Mantegazza;Customer;1310850
Poerio;Gustavo;Gustavo Poerio;Customer;1310855
Faggiani;Loredana;Loredana Faggiani;Customer;1310860
Cattaneo;Antonio;Antonio Cattaneo;Customer;1310865
Asmundo;Melina;Melina Asmundo;Customer;1310870
Tamburi;Pellegrino;Pellegrino Tamburi;Customer;1310875
Giannuzzi;Maria;Maria Giannuzzi;Customer;1310880
Bonomo;Vincenzo;Vincenzo Bonomo;Customer;1310885
Donini;Luciano;Luciano Donini;Customer;1310890
Abba;Pasquale;Pasquale Abba;Customer;1310895
Borgia;Licia;Licia Borgia;Customer;1310900
Argentero;Franco;Franco Argentero;Customer;1310905
Gemito;Lodovico;Lodovico Gemito;Customer;1310910
Canova;Luciano;Luciano Canova;Customer;1310915
Vendetti;Romana;Romana Vendetti;Customer;1310920
Gabba;Stefano;Stefano Gabba;Customer;1310925
Notarbartolo;Martina;Martina Notarbartolo;Customer;1310930
Bixio;Greco;Greco Bixio;Customer;1310935
Gabba;Luisa;Luisa Gabba;Customer;1310940
Pincherle;Gaetano;Gaetano Pincherle;Customer;1310945
Canova;Donatello;Donatello Canova;Customer;1310950
Renier;Romeo;Romeo Renier;Customer;1310955
Bellucci;Raffaellino;Raffaellino Bellucci;Customer;1310960
Borroni;Telemaco;Telemaco Borroni;Customer;1310965
Bertoni;Delfino;Delfino Bertoni;Customer;1310970
Foletti;Ida;Ida Foletti;Customer;1310975
Antonioni;Bartolomeo;Bartolomeo Antonioni;Customer;1310980
Crispi;Ermes;Ermes Crispi;Customer;1310985
Buscetta;Sole;Sole Buscetta;Customer;1310990
Detti;Vincenzo;Vincenzo Detti;Customer;1310995
Jacuzzi;Umberto;Umberto Jacuzzi;Customer;1311000
Zaccagnini;Dina;Dina Zaccagnini;Customer;1311005
Foconi;Angelica;Angelica Foconi;Customer;1311010
Anichini;Gianfranco;Gianfranco Anichini;Customer;1311015
Scandone;Cipriano;Cipriano Scandone;Customer;1311020
Monicelli;Gioele;Gioele Monicelli;Customer;1311025
Querini;Nina;Nina Querini;Customer;1311030
Pietrangeli;Pompeo;Pompeo Pietrangeli;Customer;1311035
Parri;Gian;Gian Parri;Customer;1311040
Sandi;Giulio;Giulio Sandi;Customer;1311045
Deledda;Vincentio;Vincentio Deledda;Customer;1311050
Aldobrandi;Federigo;Federigo Aldobrandi;Customer;1311055
Saraceno;Domenico;Domenico Saraceno;Customer;1311060
Pascarella;Emilio;Emilio Pascarella;Customer;1311065
Cremonesi;Costanzo;Costanzo Cremonesi;Customer;1311070
Bertoni;Bettina;Bettina Bertoni;Customer;1311075
Toninelli;Ilaria;Ilaria Toninelli;Customer;1311080
Sommaruga;Marcello;Marcello Sommaruga;Customer;1311085
Onisto;Michelangelo;Michelangelo Onisto;Customer;1311090
Donarelli;Marisa;Marisa Donarelli;Customer;1311095
Camuccini;Martina;Martina Camuccini;Customer;1311100
Chigi;Ettore;Ettore Chigi;Customer;1311105
Bixio;Martino;Martino Bixio;Customer;1311110
Beccaria;Domenico;Domenico Beccaria;Customer;1311115
Alonzi;Stefani;Stefani Alonzi;Customer;1311120
Fanucci;Ciro;Ciro Fanucci;Customer;1311125
Ciampi;Livio;Livio Ciampi;Customer;1311130
Peranda;Alessia;Alessia Peranda;Customer;1311135
Tosi;Antonino;Antonino Tosi;Customer;1311140
Pedersoli;Riccardo;Riccardo Pedersoli;Customer;1311145
Maccanelli;Aurora;Aurora Maccanelli;Customer;1311150
Cassarà;Enrico;Enrico Cassarà;Customer;1311155
Verga;Etta;Etta Verga;Customer;1311160
Gianvecchio;Cipriano;Cipriano Gianvecchio;Customer;1311165
Spinelli;Amalia;Amalia Spinelli;Customer;1311170
Zaguri;Annetta;Annetta Zaguri;Customer;1311175
Desio;Eva;Eva Desio;Customer;1311180
Morricone;Fiorino;Fiorino Morricone;Customer;1311185
Camiscione;Dolores;Dolores Camiscione;Customer;1311190
Benigni;Simonetta;Simonetta Benigni;Customer;1311195
Badoer;Donatella;Donatella Badoer;Customer;1311200
Ferragni;Amleto;Amleto Ferragni;Customer;1311205
Giradello;Gianni;Gianni Giradello;Customer;1311210
Querini;Guarino;Guarino Querini;Customer;1311215
Fagotto;Massimo;Massimo Fagotto;Customer;1311220
Gradenigo;Vittorio;Vittorio Gradenigo;Customer;1311225
Prada;Claudia;Claudia Prada;Customer;1311230
Antonelli;Alina;Alina Antonelli;Customer;1311235
Dibiasi;Irma;Irma Dibiasi;Customer;1311240
Bondumier;Aurora;Aurora Bondumier;Customer;1311245
Giusti;Marina;Marina Giusti;Customer;1311250
Gotti;Flora;Flora Gotti;Customer;1311255
Vianello;Donatella;Donatella Vianello;Customer;1311260
Alfieri;Matteo;Matteo Alfieri;Customer;1311265
Angiolello;Venancio;Venancio Angiolello;Customer;1311270
Sabatini;Mercedes;Mercedes Sabatini;Customer;1311275
Travia;Cipriano;Cipriano Travia;Customer;1311280
Gradenigo;Giampaolo;Giampaolo Gradenigo;Customer;1311285
Turchetta;Ida;Ida Turchetta;Customer;1311290
Morellato;Ottone;Ottone Morellato;Customer;1311295
Tozzo;Adriana;Adriana Tozzo;Customer;1311300
Polesel;Monica;Monica Polesel;Customer;1311305
Montessori;Ciro;Ciro Montessori;Customer;1311310
Busoni;Amico;Amico Busoni;Customer;1311315
Moretti;Sergius;Sergius Moretti;Customer;1311320
Ferragni;Gianmarco;Gianmarco Ferragni;Customer;1311325
Castioni;Annunziata;Annunziata Castioni;Customer;1311330
Pasqua;Leopoldo;Leopoldo Pasqua;Customer;1311335
Ferrari;Liana;Liana Ferrari;Customer;1311340
Pizzetti;Susanna;Susanna Pizzetti;Customer;1311345
