last_name;first_name;IVA;:LABEL;:ID
Redi;Alina;IT04893380222;Lawyer;1523252
Baresi;Vincenzo;IT74846520570;Lawyer;1523255
Pininfarina;Bernardo;IT15293990154;Lawyer;1523258
Iacovelli;Ronaldo;IT08430180136;Lawyer;1523261
Oliboni;Severino;IT84907070936;Lawyer;1523264
Fo;Aria;IT45506300669;Lawyer;1523267
Vivaldi;Eugenia;IT24820920833;Lawyer;1523270
Necci;Cecilia;IT05314850818;Lawyer;1523273
Falloppio;Tonino;IT03705010928;Lawyer;1523276
Tasca;Flavia;IT34040611211;Lawyer;1523279
Boccioni;Severino;IT45516920704;Lawyer;1523282
Nicolini;Silvio;IT26668240885;Lawyer;1523285
Alfieri;Antonina;IT25265910114;Lawyer;1523288
Michelangeli;Fulvio;IT80156140719;Lawyer;1523291
Boccherini;Luchino;IT91282820900;Lawyer;1523294
Folliero;Clelia;IT01772110100;Lawyer;1523297
Tirabassi;Franco;IT85813390417;Lawyer;1523300
Draghi;Geronimo;IT15953680822;Lawyer;1523303
Marconi;Armando;IT83166050456;Lawyer;1523306
Borromini;Vincentio;IT06656690275;Lawyer;1523309
Aloisio;Martino;IT46498730731;Lawyer;1523312
Abba;Ornella;IT95440131217;Lawyer;1523315
Collina;Michelangelo;IT44553770262;Lawyer;1523318
Balotelli;Annamaria;IT85806960317;Lawyer;1523321
Piacentini;Gaetano;IT63188490781;Lawyer;1523324
Verga;Viridiana;IT71615820702;Lawyer;1523327
Cadorna;Zaira;IT56499860049;Lawyer;1523330
Broggini;Panfilo;IT57232850529;Lawyer;1523333
Navarria;Sergius;IT08101080409;Lawyer;1523336
Bombieri;Concetta;IT48187850820;Lawyer;1523339
Cardano;Alphons;IT17309940777;Lawyer;1523342
Emanuelli;Salvi;IT00774810311;Lawyer;1523345
Tedesco;Monica;IT28029850584;Lawyer;1523348
Vittadello;Annamaria;IT21511790186;Lawyer;1523351
Pagnotto;Ludovico;IT34843410357;Lawyer;1523354
Curiel;Carmelo;IT94971590909;Lawyer;1523357
Cicilia;Nicoletta;IT17490920190;Lawyer;1523360
Proietti;Pina;IT77915280588;Lawyer;1523363
Pigafetta;Pierluigi;IT92487790252;Lawyer;1523366
Barberini;Giulietta;IT09536440630;Lawyer;1523369
Turchi;Jolanda;IT30867260504;Lawyer;1523372
Faugno;Milo;IT28087860616;Lawyer;1523375
Fantozzi;Gastone;IT90775020481;Lawyer;1523378
Bettoni;Stefani;IT85847870798;Lawyer;1523381
Foà;Alderano;IT82762770095;Lawyer;1523384
Cortese;Amedeo;IT75034320889;Lawyer;1523387
Bonanno;Elvira;IT81459470274;Lawyer;1523390
