:ID;:LABEL;first_name;last_name;full_name
842625;Customer;Alessandra;Antonelli;Alessandra Antonelli
842630;Customer;Ottavio;Cignaroli;Ottavio Cignaroli
842635;Customer;Marisa;Anastasi;Marisa Anastasi
842640;Customer;Ubaldo;Argentero;Ubaldo Argentero
842645;Customer;Amalia;Vezzali;Amalia Vezzali
842650;Customer;Amanda;Boldù;Amanda Boldù
842655;Customer;Eugenia;Bernini;Eugenia Bernini
842660;Customer;Mattia;Gregorio;Mattia Gregorio
842665;Customer;Alphons;Finzi;Alphons Finzi
842670;Customer;Giuseppe;Grassi;Giuseppe Grassi
842675;Customer;Alderano;Lombardo;Alderano Lombardo
842680;Customer;Galasso;Treccani;Galasso Treccani
842685;Customer;Graziella;Condoleo;Graziella Condoleo
842690;Customer;Renzo;Marcacci;Renzo Marcacci
842695;Customer;Eva;Lombroso;Eva Lombroso
842700;Customer;Aldo;Petrucelli;Aldo Petrucelli
842705;Customer;Adelasia;Tolentino;Adelasia Tolentino
842710;Customer;Serafina;Morandi;Serafina Morandi
842715;Customer;Pietro;Brichese;Pietro Brichese
842720;Customer;Pasquale;Mengolo;Pasquale Mengolo
842725;Customer;Gian;Aloisio;Gian Aloisio
842730;Customer;Sole;Gottardi;Sole Gottardi
842735;Customer;Pierluigi;Pinamonte;Pierluigi Pinamonte
842740;Customer;Romeo;Giannotti;Romeo Giannotti
842745;Customer;Benvenuto;Renier;Benvenuto Renier
842750;Customer;Vincentio;Trapanese;Vincentio Trapanese
842755;Customer;Bruno;Zaccardo;Bruno Zaccardo
842760;Customer;Ruggero;Sanudo;Ruggero Sanudo
842765;Customer;Costanzo;Nibali;Costanzo Nibali
842770;Customer;Ezio;Cociarelli;Ezio Cociarelli
842775;Customer;Berenice;Lucarelli;Berenice Lucarelli
842780;Customer;Sandra;Delle;Sandra Delle
842785;Customer;Benvenuto;Gagliano;Benvenuto Gagliano
842790;Customer;Paolo;Pertile;Paolo Pertile
842795;Customer;Stefania;Buonauro;Stefania Buonauro
842800;Customer;Ezio;Botta;Ezio Botta
842805;Customer;Patrizia;Binaghi;Patrizia Binaghi
842810;Customer;Maria;Ossani;Maria Ossani
842815;Customer;Beppe;Zola;Beppe Zola
842820;Customer;Diana;Costalonga;Diana Costalonga
842825;Customer;Filippo;Pezzali;Filippo Pezzali
842830;Customer;Pina;Gelli;Pina Gelli
842835;Customer;Ninetta;Rusticucci;Ninetta Rusticucci
842840;Customer;Sylvia;Satriani;Sylvia Satriani
842845;Customer;Puccio;Casellati;Puccio Casellati
842850;Customer;Salvi;Villadicani;Salvi Villadicani
842855;Customer;Patrizia;Agostinelli;Patrizia Agostinelli
842860;Customer;Cecilia;Asprucci;Cecilia Asprucci
842865;Customer;Raimondo;Pometta;Raimondo Pometta
842870;Customer;Tiziano;Leopardi;Tiziano Leopardi
842875;Customer;Adele;Gadda;Adele Gadda
842880;Customer;Raffaele;Gotti;Raffaele Gotti
842885;Customer;Fiamma;Musatti;Fiamma Musatti
842890;Customer;Ruggiero;Cagnotto;Ruggiero Cagnotto
842895;Customer;Gianluca;Carullo;Gianluca Carullo
842900;Customer;Gabriele;Franscini;Gabriele Franscini
842905;Customer;Sonia;Asprucci;Sonia Asprucci
842910;Customer;Rocco;Morosini;Rocco Morosini
842915;Customer;Fiorino;Ferragamo;Fiorino Ferragamo
842920;Customer;Gabriele;Filippini;Gabriele Filippini
842925;Customer;Zaira;Cerquiglini;Zaira Cerquiglini
842930;Customer;Fiamma;Schiavo;Fiamma Schiavo
842935;Customer;Puccio;Burcardo;Puccio Burcardo
842940;Customer;Antonino;Tomaselli;Antonino Tomaselli
842945;Customer;Antonio;Perozzo;Antonio Perozzo
842950;Customer;Enzo;Benigni;Enzo Benigni
842955;Customer;Alfio;Branciforte;Alfio Branciforte
842960;Customer;Francesca;Fantozzi;Francesca Fantozzi
