:ID;:LABEL;IVA;first_name;last_name
53303;Lawyer;IT49351520082;Livio;Foconi
53306;Lawyer;IT03112820992;Carolina;Abate
53309;Lawyer;IT47093240100;Niccolò;Faugno
53312;Lawyer;IT66719210883;Daria;Innocenti
53315;Lawyer;IT98275150708;Lando;Scotti
53318;Lawyer;IT92103200744;Azeglio;Finetti
53321;Lawyer;IT55662520331;Paulina;Bandello
53324;Lawyer;IT79585090867;Paride;Gramsci
53327;Lawyer;IT47621620369;Veronica;Canil
53330;Lawyer;IT68741750324;Vincentio;Jacuzzi
53333;Lawyer;IT36087880609;Silvestro;Bertoli
53336;Lawyer;IT85537591209;Alessio;Opizzi
53339;Lawyer;IT15519630428;Rolando;Iannuzzi
53342;Lawyer;IT14741280987;Riccardo;Saffi
53345;Lawyer;IT57227060316;Virgilio;Mazzeo
53348;Lawyer;IT53867490079;Geronimo;Boccaccio
53351;Lawyer;IT40738450937;Giampiero;Totino
53354;Lawyer;IT51863360841;Ugo;Barsanti
53357;Lawyer;IT85180950256;Pierangelo;Bandello
53360;Lawyer;IT90483830783;Romina;Iadanza
53363;Lawyer;IT19504800467;Amico;Mozart
53366;Lawyer;IT21732010398;Olga;Pasqua
53369;Lawyer;IT84581370123;Alina;Manolesso
53372;Lawyer;IT61248140529;Pierluigi;Ferrazzi
53375;Lawyer;IT44528840471;Massimiliano;Gargallo
53378;Lawyer;IT83859598886;Annibale;Ferrabosco
53381;Lawyer;IT91284480141;Lucio;Bassi
53384;Lawyer;IT12717470970;Stella;Leblanc
53387;Lawyer;IT46007070108;Gianluigi;Mannoia
53390;Lawyer;IT28516090967;Piergiorgio;Rizzo
53393;Lawyer;IT42467420578;Roman;Jilani
53396;Lawyer;IT31249580478;Donatello;Gaggini
53399;Lawyer;IT47419830402;Luchino;Luxardo
53402;Lawyer;IT24644260200;Alessandra;Segrè
53405;Lawyer;IT07945510191;Flavia;Bonaventura
53408;Lawyer;IT74764970385;Alessandro;Pacelli
53411;Lawyer;IT32004670900;Gioele;Pometta
53414;Lawyer;IT82807840275;Enzio;Missoni
53417;Lawyer;IT87552980010;Gioachino;Caruso
53420;Lawyer;IT34515030947;Donatello;Rubbia
53423;Lawyer;IT65468330173;Mauro;Sorrentino
53426;Lawyer;IT50128020539;Cecilia;Desio
53429;Lawyer;IT34719050535;Mauro;Bevilacqua
53432;Lawyer;IT83449168885;Paoletta;Cipolla
53435;Lawyer;IT02910930912;Giosuè;Botticelli
