:ID;:LABEL;value
180;SSN;CRTMLN66E21L765O
185;SSN;MSCGRM89H66B311M
190;SSN;NSCRFL29E53H245S
195;SSN;BLTLND89P20L784I
200;SSN;ZLONDA80B07A368D
205;SSN;CSTPMP31T45B581Q
210;SSN;CSTCRD55P45H921O
215;SSN;SLADRA75M48D179Z
220;SSN;VLNLLL10E26G978Q
225;SSN;VLGPRC26S03B617V
230;SSN;VRCMTT59P46F874F
235;SSN;PNTPLM65A02F852R
240;SSN;NSTRMN70T11E436H
245;SSN;MTTGBL15E01G491C
250;SSN;GNGMRN37P42G126V
255;SSN;RCCNNI64L54A657A
260;SSN;SRARLD56C61L291F
265;SSN;CMNLTZ64T08C382F
270;SSN;FLNSLT06P43I775V
275;SSN;BNTSTN37B09H975Z
280;SSN;MNCCRN29D11E921E
285;SSN;MTAPRS18C53I308I
290;SSN;BSSMRS87R01D324T
295;SSN;MDGDNL50D17I304C
300;SSN;CMRLGN24A26L627G
305;SSN;PDRCRD38S53I217T
310;SSN;RGNGSN27D65L700C
315;SSN;BFFCSN79M67G672P
320;SSN;LBRPNL22L44M088T
325;SSN;MRZGRM17H44G785J
330;SSN;CCLMRA45L68G151H
335;SSN;LVTDLM04C47B647W
340;SSN;LCCGLI64B19I109V
345;SSN;PPFLDN44E65F975T
350;SSN;GRDCRI56A50D852L
355;SSN;VSRPCC30T52F456T
360;SSN;LCNGNN85D67E139R
365;SSN;PTRSRN96D17E473S
370;SSN;TRMRSO49P01D008G
375;SSN;FDRRSN77T59A788S
380;SSN;TMMPNL09E52G190F
385;SSN;PNMLCN13M55H091P
390;SSN;GSTRST20H68E345O
395;SSN;TLDGNL68C64D803L
400;SSN;PRMLLD62R49L668B
405;SSN;PRNJLD40C23I065D
410;SSN;RCLLDI43S16A368I
415;SSN;BRSFBZ92R28I779I
420;SSN;JLNTNN19P43I475I
425;SSN;PRLSTN78T27G964N
430;SSN;MGLMRH64R05L427E
435;SSN;NSGGSI69T45L286R
440;SSN;RGGMRN78B63I493D
445;SSN;LMGLRT36P20A722I
