last_name;first_name;full_name;:ID;:LABEL
Fattori;Annunziata;Annunziata Fattori;0;Customer
Ravaglioli;Gabriella;Gabriella Ravaglioli;5;Customer
Riccati;Claudio;Claudio Riccati;10;Customer
Ferragamo;Saverio;Saverio Ferragamo;15;Customer
Serlupi;Fulvio;Fulvio Serlupi;20;Customer
Bova;Gino;Gino Bova;25;Customer
Asprucci;Fiorenzo;Fiorenzo Asprucci;30;Customer
Draghi;Ruggiero;Ruggiero Draghi;35;Customer
Franscini;Antonietta;Antonietta Franscini;40;Customer
Crispi;Puccio;Puccio Crispi;45;Customer
Carpaccio;Orlando;Orlando Carpaccio;50;Customer
Morlacchi;Marina;Marina Morlacchi;55;Customer
Guinizzelli;Enzio;Enzio Guinizzelli;60;Customer
Frescobaldi;Stella;Stella Frescobaldi;65;Customer
Munari;Alfio;Alfio Munari;70;Customer
Olivetti;Sole;Sole Olivetti;75;Customer
Naccari;Mirko;Mirko Naccari;80;Customer
Galtarossa;Romeo;Romeo Galtarossa;85;Customer
Mazzeo;Alessandra;Alessandra Mazzeo;89;Customer
Tomaselli;Giuliano;Giuliano Tomaselli;93;Customer
Solimena;Fabia;Fabia Solimena;97;Customer
Bosio;Gianpaolo;Gianpaolo Bosio;100;Customer
Bataglia;Erika;Erika Bataglia;102;Customer
Zabarella;Alderano;Alderano Zabarella;103;Customer
Faggiani;Augusto;Augusto Faggiani;104;Customer
