value;:ID;:LABEL
gionata.rensi@libero.it;2;Email
laureano.bellucci@hotmail.it;7;Email
veronica.coardi@libero.it;12;Email
costantino.toso@libero.it;17;Email
fabrizio.gotti@hotmail.com;22;Email
salvatore.guarneri@libero.it;27;Email
ronaldo.regge@hotmail.it;32;Email
fiorenzo.niscoromni@yahoo.com;37;Email
alessandro.trevisani@yahoo.com;42;Email
berenice.lippomano@yahoo.com;47;Email
luisa.passalacqua@hotmail.com;52;Email
benvenuto.sabatini@gmail.com;57;Email
paoletta.padovano@outlook.it;62;Email
bruno.pagliaro@hotmail.com;67;Email
gaetano.gasperi@outlook.it;72;Email
gianmarco.nicolucci@hotmail.it;77;Email
donatello.pedroni@hotmail.com;82;Email
baccio.cerutti@hotmail.it;87;Email
valeria.favata@outlook.com;91;Email
girolamo.bertolucci@gmail.com;95;Email
