last_name;:ID;first_name;IVA;:LABEL
Carosone;107;Niccolò;IT59190570214;Lawyer
Ceci;110;Pierluigi;IT17790630838;Lawyer
Cusano;113;Agnolo;IT39180520973;Lawyer
Avogadro;116;Eleanora;IT33129480977;Lawyer
Milanesi;119;Amico;IT12405180626;Lawyer
Agnesi;122;Claudia;IT10223390286;Lawyer
Strangio;125;Franco;IT23206310866;Lawyer
Zacchia;128;Antonia;IT48493990922;Lawyer
Sansoni;131;Lucrezia;IT52191970194;Lawyer
Gozzi;134;Venancio;IT22985260375;Lawyer
Offredi;137;Antonella;IT73572040175;Lawyer
Giolitti;140;Ermenegildo;IT61922660222;Lawyer
Einaudi;143;Antonella;IT40136420797;Lawyer
Cabibbo;146;Dario;IT13543820701;Lawyer
Fermi;149;Adelasia;IT20141060820;Lawyer
Renzi;152;Paloma;IT26122110260;Lawyer
Vidoni;155;Eraldo;IT13910590341;Lawyer
Pacomio;158;Aurora;IT03330900196;Lawyer
Foconi;161;Martino;IT28555071001;Lawyer
Dallapé;164;Cesare;IT37220371209;Lawyer
Gentilini;167;Lorenzo;IT72751790634;Lawyer
Lombardo;170;Imelda;IT33954200441;Lawyer
Tomaselli;173;Priscilla;IT98459130377;Lawyer
Niscoromni;176;Mario;IT46857320330;Lawyer
