value;:ID;:LABEL
GRVRTR76B44E096Z;4;SSN
SLRNNI18H14E133R;9;SSN
VLMBRT68H50L056P;14;SSN
CRBLRI08E21E169W;19;SSN
NTNFLV34E03D621G;24;SSN
RMGDNI92M12D549Y;29;SSN
BSSPLT47H15I526X;34;SSN
DVRVRN79C25D284T;39;SSN
CSNFRN51T12F536J;44;SSN
FRRGNG53L44I314Y;49;SSN
BNNPPZ68D67I686T;54;SSN
TRBFRN39C52I732R;59;SSN
TRNDMC83R61C514F;64;SSN
SQRSNO56A03H376V;69;SSN
VNVNCL50H63I991N;74;SSN
SBLNTA04R23E961T;79;SSN
SNTCNT08P10C461H;84;SSN
BRNFRC59C17G931X;88;SSN
PCTGSI25H61M422C;92;SSN
ZMRPTZ00S42H081F;96;SSN
BNVRSN98E41I324D;99;SSN
