IVA;first_name;:LABEL;last_name;:ID
IT81926460528;Ettore;Lawyer;Giannetti;107
IT85857850953;Ruggiero;Lawyer;Casaleggio;110
IT59041761202;Germana;Lawyer;Gianetti;113
IT34471100817;Nicola;Lawyer;Antonelli;116
IT93654510499;Ansaldo;Lawyer;Pacillo;119
IT45517950437;Raffaele;Lawyer;Bonatti;122
IT60997960798;Giuseppe;Lawyer;Scotti;125
IT69939370362;Giorgio;Lawyer;Luxardo;128
IT94041630024;Atenulf;Lawyer;Curci;131
IT53415120665;Elena;Lawyer;Rapisardi;134
IT09947230265;Giulietta;Lawyer;Torlonia;137
IT99815640968;Chiara;Lawyer;Mennea;140
IT12044730492;Carolina;Lawyer;Carriera;143
IT87090160570;Giuliana;Lawyer;Morandini;146
IT38430340448;Armando;Lawyer;Scarlatti;149
IT25671940804;Gianpaolo;Lawyer;Cantimori;152
IT65660570824;Agostino;Lawyer;Panicucci;155
IT63261470940;Vincenza;Lawyer;Monaco;158
IT24114470487;Simone;Lawyer;Bajardi;161
IT87208960606;Raffaellino;Lawyer;Leopardi;164
IT21345660050;Maurizio;Lawyer;Migliaccio;167
IT74796940034;Baccio;Lawyer;Cociarelli;170
IT85323070129;Eleanora;Lawyer;Polesel;173
IT88894400303;Camillo;Lawyer;Calarco;176
