last_name;code;:LABEL;first_name;:ID
Boccioni;424833355904;Evaluator;Gianna;399
Virgilio;606610691329;Evaluator;Nicola;402
Sraffa;588471018498;Evaluator;Michelotto;405
Morandi;257376211715;Evaluator;Livia;408
Sordi;905363746307;Evaluator;Irma;411
Cignaroli;309662397191;Evaluator;Natalia;414
Carpaccio;334650400525;Evaluator;Dina;417
Scotti;752323952911;Evaluator;Adriano;420
Borsiere;137943338128;Evaluator;Liberto;423
Trupiano;810538444949;Evaluator;Stefania;426
Adinolfi;486299620503;Evaluator;Cirillo;429
Zola;859374613271;Evaluator;Valeria;432
Mogherini;392760733338;Evaluator;Giampiero;435
Scaramucci;418877523483;Evaluator;Ansaldo;438
Ginesio;541052331678;Evaluator;Giuseppe;441
Nicolucci;590754682658;Evaluator;Beppe;444
Simeoni;59566237604;Evaluator;Sonia;447
Bondumier;345683325992;Evaluator;Fernanda;450
Bragaglia;214282485803;Evaluator;Lucia;453
Tartaglia;374645324078;Evaluator;Guglielmo;456
Lattuada;429934363442;Evaluator;Ronaldo;459
Tamburello;703483222582;Evaluator;Ignazio;462
Stradivari;542347711288;Evaluator;Ivo;465
Nicolini;379265269689;Evaluator;Caterina;468
Capecchi;873184915001;Evaluator;Romeo;471
Ceri;608201990843;Evaluator;Vincenzo;474
Interminelli;332781717181;Evaluator;Marta;477
Baggio;182509406014;Evaluator;Graziano;480
Tresoldi;933749215679;Evaluator;Ida;483
Squarcione;226156911043;Evaluator;Damiano;486
Pizzetti;58870575811;Evaluator;Morena;489
Vismara;758105480515;Evaluator;Alessandro;492
Marcacci;815430568390;Evaluator;Costantino;495
Pavanello;336730500422;Evaluator;Elvira;498
Tafuri;879559612238;Evaluator;Piersanti;501
Gregori;261010299861;Evaluator;Angelina;504
Cossiga;527854655319;Evaluator;Alfio;507
Ortolani;753852117977;Evaluator;Adamo;510
Ligorio;336879949788;Evaluator;Melissa;513
Fabbri;407463223905;Evaluator;Aurora;516
Fallaci;697160209250;Evaluator;Sandro;519
Baglioni;859054118373;Evaluator;Maria;522
Pisacane;357352656231;Evaluator;Donatello;525
Zarlino;625323251564;Evaluator;Francesca;528
Barozzi;176846501487;Evaluator;Mercedes;531
Platini;948542706544;Evaluator;Lisa;534
Bellucci;686323983856;Evaluator;Lorenzo;537
Greggio;175587889658;Evaluator;Jacopo;540
Pisani;593139923827;Evaluator;Laureano;543
Capuana;504787504883;Evaluator;Delfino;545
Pederiva;787434135287;Evaluator;Domenico;547
Verga;521113698042;Evaluator;Filippa;549
Forza;346842396540;Evaluator;Federigo;551
Berengario;251705424893;Evaluator;Gianluigi;553
