last_name;IVA;:LABEL;first_name;:ID
Priuli;IT27132210660;Lawyer;Dario;879
Catenazzi;IT19664460425;Lawyer;Mirko;882
Chiesa;IT38241570530;Lawyer;Simonetta;885
Satriani;IT22243130576;Lawyer;Livia;888
Tacchini;IT31685770906;Lawyer;Giuliano;891
Squarcione;IT02642850750;Lawyer;Ranieri;894
Ossola;IT33877620824;Lawyer;Alfio;897
Ajello;IT40408350037;Lawyer;Beatrice;900
Cortese;IT58536420209;Lawyer;Nadia;903
Battelli;IT28360350467;Lawyer;Marta;906
Palazzo;IT01524810049;Lawyer;Ruggero;909
Murialdo;IT18601330220;Lawyer;Gabriele;912
Gulotta;IT69265950415;Lawyer;Silvestro;915
Trapani;IT67782060742;Lawyer;Coluccio;918
Ricci;IT01530080207;Lawyer;Lolita;921
Pirandello;IT70570580038;Lawyer;Loretta;924
Malaparte;IT72373240109;Lawyer;Mirko;927
Rosselli;IT41348269998;Lawyer;Arnaldo;930
Emo;IT02109730081;Lawyer;Benvenuto;933
Palazzo;IT38148770571;Lawyer;Jolanda;936
Gaito;IT81019740588;Lawyer;Marcantonio;939
Marini;IT06382600531;Lawyer;Giuseppina;942
Petruzzi;IT43688990134;Lawyer;Bartolomeo;945
Corradi;IT16619510767;Lawyer;Torquato;948
Filangieri;IT61683060919;Lawyer;Mirco;951
Fusani;IT66035830646;Lawyer;Marina;954
Fuseli;IT71056930671;Lawyer;Annalisa;957
Andreotti;IT05931190937;Lawyer;Ivo;960
Trombetta;IT80728250533;Lawyer;Romana;963
Luria;IT75186220739;Lawyer;Giacomo;966
Maderno;IT13207470173;Lawyer;Renata;969
Bocca;IT09379760367;Lawyer;Marcella;972
Ungaretti;IT45531090293;Lawyer;Milo;975
Bossi;IT42217360736;Lawyer;Susanna;978
Burcardo;IT83199690336;Lawyer;Elladio;981
Flaiano;IT45488650420;Lawyer;Giulietta;984
Ramazzotti;IT58121600058;Lawyer;Dina;987
Donatoni;IT95196720403;Lawyer;Gianluigi;990
Regge;IT05020710272;Lawyer;Pasquale;993
Cociarelli;IT88151900136;Lawyer;Emma;996
Balla;IT70586200217;Lawyer;Isa;999
Zanichelli;IT91540320263;Lawyer;Jacopo;1002
Gagliano;IT32331970718;Lawyer;Marissa;1005
Giulietti;IT40072760537;Lawyer;Silvia;1008
Desio;IT54704230967;Lawyer;Bruno;1011
Tuzzolino;IT33935070889;Lawyer;Federica;1014
Malatesta;IT14986140318;Lawyer;Nicoletta;1017
Trombetta;IT72103560420;Lawyer;Lara;1020
Garzoni;IT93088210542;Lawyer;Adele;1023
Cicala;IT94018020340;Lawyer;Liliana;1026
Castellitto;IT50117840889;Lawyer;Pierina;1029
Cuda;IT87358060033;Lawyer;Gabriella;1032
Papafava;IT22812490245;Lawyer;Isabella;1035
Battisti;IT21744960283;Lawyer;Alderano;1038
Tosto;IT64674800491;Lawyer;Romolo;1041
Udinesi;IT25043790192;Lawyer;Stella;1044
Stoppani;IT97564620744;Lawyer;Napoleone;1047
Prada;IT91140460196;Lawyer;Valerio;1050
Modigliani;IT73098279992;Lawyer;Alessandra;1053
Barozzi;IT40895620652;Lawyer;Ludovico;1056
Trevisan;IT03220610244;Lawyer;Donatello;1059
Pisaroni;IT82438870287;Lawyer;Carolina;1062
Rossi;IT15940090754;Lawyer;Panfilo;1065
Vezzali;IT87935680238;Lawyer;Carmelo;1068
Buonauro;IT93492640482;Lawyer;Ubaldo;1071
Pizziol;IT57758080642;Lawyer;Romana;1074
Filzi;IT01851660843;Lawyer;Edoardo;1077
Fantini;IT44436430688;Lawyer;Jacopo;1080
Venditti;IT41019780372;Lawyer;Antonietta;1083
Barbarigo;IT40643510221;Lawyer;Vincentio;1086
Fieramosca;IT35050860564;Lawyer;Micheletto;1089
Borroni;IT14550110242;Lawyer;Griselda;1092
