value;:LABEL;:ID
SPRGSI19M66E963R;SSN;564
PLMMND68M13C951O;SSN;569
GLTMCL19M44L250A;SSN;574
BRLGTN73L46I414U;SSN;579
NZGNNT80L19D038B;SSN;584
FRRVNI07R47D926J;SSN;589
BTTFRD84T62G538I;SSN;594
PRTRML40C44A123M;SSN;599
SBRPNI30R14L349C;SSN;604
DSDNNI69C65I519I;SSN;609
ZNZMRD02S28L729N;SSN;614
PRMNGC52D22F520O;SSN;619
PNIDNL37P50M348E;SSN;624
SPSGDU31P46I174W;SSN;629
BNVVLR90E43A630V;SSN;634
BRGRFL63H46L016Z;SSN;639
RNLMRN58H09F104B;SSN;644
GRVSBL61E15M100T;SSN;649
CHPGNL44S68B550S;SSN;654
PSSLMR12L48E530Z;SSN;659
BCSLLD35A59E212I;SSN;664
CHTMRN34D27A016J;SSN;669
BNNNTT43R02E515F;SSN;674
MSPGLN47M03A306V;SSN;679
MGLGVN46P01D684G;SSN;684
MRRRNF99L47D166I;SSN;689
TLDNRC06A60G117Q;SSN;694
LNFDNL57R57C376P;SSN;699
GZZGNC79M55H046Y;SSN;704
CPNGNL10S63F765N;SSN;709
GRGBTN21H07M382R;SSN;714
TRVSLT79D62G556J;SSN;719
TMBMNC52T11G061Z;SSN;724
STRMME01H01A650J;SSN;729
CMRDIA34B01L279Y;SSN;734
MRCCRD64L68C764F;SSN;739
BNDTLC30P55L473D;SSN;744
LGNGRC23T47I774A;SSN;749
BRGMRA43L12G753F;SSN;754
DNZPSL98S51D784I;SSN;759
NTRGNR44R55I220P;SSN;764
CBRLLT37M06G878Q;SSN;769
PTRPRR33C56E208D;SSN;774
FRRFRN26B02D102K;SSN;779
SSMNNI77H11A369J;SSN;784
NSGCCL47A01C447Q;SSN;789
TRPSNN84M67A461I;SSN;794
BRCRFL28D55C275Y;SSN;799
TRTTNO46D06C605J;SSN;804
FLTNGL01S63I443C;SSN;809
GLRLLN84E24I703H;SSN;814
GLLMRN51T14H446G;SSN;819
CRSVTR18R27I035Q;SSN;823
NGLBLD96S67I689W;SSN;827
CRRGSP31H57G509U;SSN;831
FRNBRL48B64G315Z;SSN;835
PLLTNO18M57I244P;SSN;839
CGNLMR39H61L833A;SSN;843
GBRGNG63L61I848E;SSN;847
CRFMCL20H61H389E;SSN;851
DSCNTT65B16C122R;SSN;854
GSTVRL65A67D670B;SSN;857
BVOMNC15B17G565X;SSN;860
